player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Jamal Shead,22,TOR,PG,75,11,19.6,2.7,6.7,405,1.0,3.0,323,1.8,3.7,470,476,0.7,0.9,768,0.4,1.1,1.5,4.2,0.8,0.1,1.6,2.1,7.1
Kyshawn George,21,WAS,SG,68,38,26.5,3.0,8.0,372,1.7,5.2,322,1.3,2.8,464,476,1.0,1.4,753,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7
Jonathan Isaac,27,ORL,PF,71,1,15.4,1.9,4.6,414,0.5,2.1,258,1.3,2.4,549,474,1.0,1.5,682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4
Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,423,0.8,2.5,318,2.6,5.4,471,473,1.9,2.5,761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4
Keon Johnson,22,BRK,SG,79,56,24.4,3.8,9.9,389,1.6,5.1,314,2.2,4.8,468,470,1.4,1.8,770,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6
Kris Murray,24,POR,SF,69,6,15.1,1.7,4.0,419,0.4,1.7,225,1.3,2.3,566,468,0.4,0.8,456,1.1,1.5,2.6,1.0,0.5,0.2,0.6,1.0,4.2
Dalano Banton,25,POR,PG,67,7,16.7,3.0,7.6,391,1.1,3.3,324,1.9,4.3,442,462,1.4,1.9,728,0.4,1.6,2.0,2.4,0.6,0.5,1.3,0.9,8.3
Isaiah Collier,20,UTA,PG,71,46,25.9,3.3,7.8,422,0.6,2.4,249,2.7,5.4,497,459,1.5,2.2,682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7
Alex Sarr,19,WAS,C,67,67,27.1,4.9,12.4,394,1.6,5.1,308,3.3,7.3,454,457,1.7,2.5,679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13.0
Ricky Council IV,23,PHI,SF,73,12,17.1,2.4,6.3,382,0.8,2.9,258,1.7,3.4,488,442,1.7,2.1,804,0.7,2.2,2.9,1.3,0.4,0.2,0.7,0.9,7.3
